State,State_Full,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Population
AL,Alabama,Leeds city,78.7,14.3,0.4,0.6,6.6,11881.0
AL,Alabama,Leesburg town,96.5,1.1,0.0,0.0,1.3,1055.0
AL,Alabama,Leighton town,43.3,53.2,0.3,0.1,0.5,859.0
AL,Alabama,Leroy CDP,78.6,20.1,0.2,0.0,0.2,779.0
AL,Alabama,Lester town,99.1,0.0,0.0,0.0,0.9,143.0
AL,Alabama,Level Plains town,75.3,12.4,0.5,1.5,11.0,2181.0
AL,Alabama,Lexington town,98.4,0.0,0.5,0.1,0.8,667.0
AL,Alabama,Libertyville town,88.9,0.9,1.7,0.0,4.3,146.0
AL,Alabama,Lincoln city,73.3,23.4,0.5,0.4,1.9,6391.0
AL,Alabama,Linden city,51.1,46.7,0.1,0.2,2.0,2123.0
AL,Alabama,Lineville city,58.6,36.9,0.3,0.2,4.6,2549.0
AL,Alabama,Lipscomb city,22.0,61.0,1.1,0.0,19.7,2275.0
AL,Alabama,Lisman town,6.7,92.2,0.0,0.0,0.2,613.0
AL,Alabama,Littleville town,96.5,0.7,0.7,0.6,1.8,1029.0
AL,Alabama,Livingston city,34.6,63.9,0.1,0.3,0.7,3466.0
AL,Alabama,Loachapoka town,58.9,37.2,0.0,2.8,1.1,217.0
AL,Alabama,Lockhart town,72.7,25.2,0.2,0.0,1.4,443.0
AL,Alabama,Locust Fork town,97.0,0.6,0.8,0.0,2.4,1441.0
AL,Alabama,Lookout Mountain CDP,95.9,2.3,0.4,0.0,1.2,1152.0
AL,Alabama,Louisville town,49.3,44.1,0.8,0.0,7.9,440.0
AL,Alabama,Lowndesboro town,76.5,20.9,0.0,0.0,0.9,118.0
AL,Alabama,Loxley town,84.4,9.4,0.7,0.6,5.1,1886.0
AL,Alabama,Luverne city,62.6,29.6,0.3,5.5,1.9,2825.0
AL,Alabama,Lynn town,98.0,0.0,0.3,0.0,0.9,563.0
AL,Alabama,McDonald Chapel CDP,55.8,39.3,0.0,0.6,2.8,530.0
AL,Alabama,Macedonia CDP,8.9,91.1,0.0,0.0,0.0,165.0
AL,Alabama,McIntosh town,37.0,55.5,4.2,0.4,2.9,422.0
AL,Alabama,McKenzie town,67.7,29.8,0.4,0.0,0.4,551.0
AL,Alabama,McMullen town,10.0,60.0,0.0,0.0,30.0,5.0
AL,Alabama,Madison city,74.0,14.6,0.5,7.0,4.3,45590.0
AL,Alabama,Madrid town,88.9,8.6,0.6,0.9,3.1,355.0
